TE	Family
TE_00000052_INTLTRGypsy	1
TE_00000060_INTLTRGypsy	1
TE_00000276_INTLTRGypsy	1
TE_00000346_INTLTRGypsy	1
TE_00000367_INTLTRGypsy	1
TE_00000424_INTLTRGypsy	1
TE_00000539_INTLTRGypsy	1
TE_00000601_INTLTRGypsy	1
TE_00000054_INTLTRGypsy	2
TE_00000227_INTLTRGypsy	2
TE_00000317_INTLTRGypsy	2
TE_00000586_INTLTRGypsy	2
TE_00000055_INTLTRGypsy	3
TE_00000390_INTLTRGypsy	3
TE_00000069_INTLTRunknown	4
TE_00000321_INTLTRunknown	4
TE_00000444_INTLTRCopia	4
TE_00000468_INTLTRGypsy	4
TE_00000564_INTLTRunknown	4
TE_00000074_INTLTRGypsy	5
TE_00000229_INTLTRGypsy	5
TE_00000629_INTLTRGypsy	5
TE_00000171_INTLTRGypsy	6
TE_00000416_INTLTRGypsy	6
TE_00000510_INTLTRGypsy	6
TE_00000075_INTLTRGypsy	7
TE_00000235_INTLTRGypsy	7
TE_00000441_INTLTRGypsy	7
TE_00000475_INTLTRGypsy	7
TE_00000076DNAHelitron	8
TE_00000238DNAHelitron	8
TE_00000415DNAHelitron	8
TE_00000083_INTLTRGypsy	9
TE_00000202_INTLTRGypsy	9
TE_00000412_INTLTRGypsy	9
TE_00000490_INTLTRGypsy	9
TE_00000652_INTLTRGypsy	9
TE_00000085_INTLTRunknown	10
TE_00000119_INTLTRunknown	10
TE_00000143_INTLTRunknown	10
TE_00000159_INTLTRunknown	10
TE_00000167_INTLTRunknown	10
TE_00000175_INTLTRunknown	10
TE_00000188_INTLTRunknown	10
TE_00000201_INTLTRunknown	10
TE_00000247_INTLTRunknown	10
TE_00000253_INTLTRunknown	10
TE_00000285_INTLTRunknown	10
TE_00000310_INTLTRunknown	10
TE_00000349_INTLTRunknown	10
TE_00000376_INTLTRunknown	10
TE_00000385_INTLTRunknown	10
TE_00000388_INTLTRunknown	10
TE_00000420_INTLTRunknown	10
TE_00000500_INTLTRGypsy	10
TE_00000530_INTLTRunknown	10
TE_00000563_INTLTRunknown	10
TE_00000653_INTLTRunknown	10
TE_00000655_INTLTRunknown	10
TE_00000672_INTLTRunknown	10
TE_00000137_INTLTRGypsy	11
TE_00000358_INTLTRGypsy	11
TE_00000468_INTLTRGypsy	11
TE_00000162_INTLTRGypsy	12
TE_00000220_INTLTRGypsy	12
TE_00000264_INTLTRGypsy	12
TE_00000428_INTLTRGypsy	16
TE_00000091_INTLTRGypsy	13
TE_00000124_INTLTRGypsy	13
TE_00000174_INTLTRGypsy	13
TE_00000311_INTLTRGypsy	13
TE_00000098_INTLTRunknown	14
TE_00000269_INTLTRunknown	14
TE_00000278_INTLTRunknown	14
TE_00000375_INTLTRunknown	14
TE_00000499_INTLTRunknown	14
TE_00000102_INTLTRGypsy	15
TE_00000233_INTLTRGypsy	15
TE_00000273_INTLTRGypsy	15
TE_00000109_INTLTRGypsy	16
TE_00000380_INTLTRGypsy	16
TE_00000524_INTLTRGypsy	16
TE_00000630_INTLTRGypsy	16
TE_00000110_INTLTRGypsy	17
TE_00000127_INTLTRGypsy	17
TE_00000212_INTLTRGypsy	17
TE_00000244_INTLTRGypsy	17
TE_00000114_LTRLTRGypsy	18
TE_00000169_LTRLTRGypsy	18
TE_00000508_LTRLTRGypsy	18
TE_00000125_INTLTRGypsy	19
TE_00000061_INTLTRunknown	19
TE_00000173_INTLTRGypsy	19
TE_00000214_INTLTRGypsy	19
TE_00000348_INTLTRGypsy	19
TE_00000418_INTLTRGypsy	19
TE_00000474_INTLTRGypsy	19
TE_00000482_INTLTRGypsy	19
TE_00000521_INTLTRGypsy	19
TE_00000593_INTLTRGypsy	19
TE_00000661_INTLTRGypsy	19
TE_00000131_INTLTRCopia	20
TE_00000673_INTLTRCopia	20
TE_00000135_INTLTRGypsy	21
TE_00000208_INTLTRunknown	21
TE_00000232_INTLTRGypsy	21
TE_00000304_INTLTRGypsy	21
TE_00000378_INTLTRGypsy	21
TE_00000484_INTLTRGypsy	21
TE_00000656_INTLTRGypsy	21
TE_00000156_INTLTRGypsy	22
TE_00000160_INTLTRGypsy	22
TE_00000609_INTLTRGypsy	22
TE_00000183_INTLTRGypsy	23
TE_00000186_INTLTRGypsy	23
TE_00000272_INTLTRGypsy	23
TE_00000518_INTLTRGypsy	23
TE_00000197_INTLTRCopia	24
TE_00000566_INTLTRCopia	24
TE_00000221_INTLTRGypsy	25
TE_00000646_INTLTRGypsy	25
TE_00000284DNADTA	26
TE_00000104DNADTA	26
TE_00000550DNADTA	26
TE_00000323_INTLTRGypsy	27
TE_00000351_INTLTRGypsy	27
TE_00000339MITEDTA	28
TE_00000618MITEDTA	28
TE_00000330_INTLTRGypsy	29
TE_00000092_INTLTRGypsy	29
TE_00000360_LTRLTRGypsy	30
TE_00000663_LTRLTRGypsy	30
TE_00000379DNADTA	31
TE_00000527DNADTA	31
TE_00000399MITEDTA	32
TE_00000405MITEDTA	32
TE_00000472MITEDTA	32
TE_00000660DNADTA	32
TE_00000404_INTLTRGypsy	33
TE_00000535_INTLTRGypsy	33
TE_00000556_INTLTRunknown	34
TE_00000643_INTLTRGypsy	34
TE_00000631DNADTA	35
TE_00000625DNADTA	35
TE_00000134_INTLTRGypsy	36
TE_00000146_INTLTRGypsy	36
TE_00000168_INTLTRGypsy	36
TE_00000222_INTLTRGypsy	36
TE_00000242_INTLTRGypsy	36
TE_00000369_INTLTRGypsy	36
